분류,단원,단어,뜻
표제어,Day 02,concern,걱정; 관심사; 관계; 걱정하다[시키다]; 관심을 갖다
파생어,Day 02,concerned,걱정하는; 관계하는
파생어,Day 02,concerning,~에 관한
표제어,Day 02,classify,"분류하다, 구분하다"
파생어,Day 02,classified,분류된; 기밀의
파생어,Day 02,classification,분류
표제어,Day 02,circumstance,"((주로 ~s)) 상황, 주위 사정; (경제적) 형편, 처지"
파생어,Day 02,circumstantial,"정황적인, 형편에 따른"
표제어,Day 02,involve,"포함하다, 수반하다; 관련시키다; 참여시키다"
파생어,Day 02,involved,관련된; 복잡한
파생어,Day 02,involvement,"관련, 개입, 연루"
표제어,Day 02,occasion,"(특정한) 때, 경우; 특별한 일[행사]"
파생어,Day 02,occasional,때때로의
파생어,Day 02,occasionally,"가끔, 때때로"
표제어,Day 02,exterior,"바깥쪽의, 외부의; 외부"
표제어,Day 02,respect,"존경하다, 존중하다; (법 등을) 준수하다; 존경, 존중; 측면, 관점"
파생어,Day 02,respectful,공손한
파생어,Day 02,respective,각각의
파생어,Day 02,respectable,존경할 만한
파생어,Day 02,respectively,"각자, 각각"
표제어,Day 02,clarify,"명백하게 하다, 분명해지다"
파생어,Day 02,clarification,설명
표제어,Day 02,artificial,"인공의, 인조의; (행동이) 거짓인, 꾸민"
표제어,Day 03,confirm,"(~이 사실임을) 보여주다; (약속 등을) 확인하다, 확정하다"
파생어,Day 03,confirmation,"확인, 확정"
표제어,Day 03,state,"상태, 상황; 국가, 주(州); (정식으로) 말하다, 진술하다"
파생어,Day 03,statement,"성명(서), 진술"
파생어,Day 03,statesman,정치가
표제어,Day 03,resist,저항하다; 반대하다
파생어,Day 03,resistance,저항
표제어,Day 03,acknowledge,"인정하다, 승인하다; 감사를 표하다"
파생어,Day 03,acknowledg(e)ment,승인; 감사
표제어,Day 03,crucial,"결정적인, 중대한"
파생어,Day 03,crucially,결정적으로
표제어,Day 03,gather,"모으다, 모이다; (수집된 정보에 따라) 이해하다"
파생어,Day 03,gathering,모임
표제어,Day 03,ignore,무시하다; 못 본 척하다
파생어,Day 03,ignorant,"~을 모르는, 무지한"
파생어,Day 03,ignorance,"무지, 무식"
표제어,Day 03,demand,요구하다; 필요로 하다; 요구; 수요
파생어,Day 03,demanding,요구가 많은; 힘든
파생어,Day 03,on demand,요구가 있는 대로
표제어,Day 03,supply,공급하다; 공급(량); ((~ies)) 보급품
표제어,Day 03,delicate,"(연)약한, 깨지기 쉬운; 섬세한, 우아한; 미묘한"
파생어,Day 03,delicacy,연약함; 섬세함
파생어,Day 03,delicately,우아하게; 미묘하게
표제어,Day 03,corporate,기업의; 법인의; 공동의
파생어,Day 03,corporation,"기업, 회사; 법인"
표제어,Day 03,eventually,"결국, 최종적으로, 마침내"
파생어,Day 03,eventual,"최후의, 궁극적인"
표제어,Day 03,object,"물체; 목적, 목표; (행동·감정의) 대상; 반대하다"
파생어,Day 03,objection,반대
표제어,Day 03,recognize,"알아보다, 인지하다; 인정하다"
파생어,Day 03,recognition,인식; 인정
표제어,Day 03,deny,"부정하다, 인정하지 않다; 거절하다"
파생어,Day 03,denial,부정; 거부
표제어,Day 03,differ,((~ from)) 다르다
파생어,Day 03,different,다른
표제어,Day 03,rent,"임대하다, 빌리다; 세, 집세"
파생어,Day 03,rental,임대료; 임대의
표제어,Day 03,charity,자선; 기부; 모금
표제어,Day 03,encourage,"용기를 북돋우다; 장려하다; 조장하다, 부추기다"
파생어,Day 03,encouragement,격려(가 되는 것)
파생어,Day 03,encouraging,힘을 북돋아 주는
표제어,Day 03,dense,"밀집한, 빽빽한; (앞이 안 보이게) 짙은"
파생어,Day 03,density,"밀도, 농도"
파생어,Day 03,densely,"조밀하게, 빽빽하게"
표제어,Day 03,damage,"손해, 손상; 손해[피해]를 입히다"
표제어,Day 03,cooperate,"협력하다, 협동하다"
파생어,Day 03,cooperation,"협력, 협동"
파생어,Day 03,cooperative,협력하는
표제어,Day 03,accurate,"정확한, 정밀한"
파생어,Day 03,accuracy,정확(성)
파생어,Day 03,accurately,"정확하게, 정밀하게"
표제어,Day 03,offense,"위반, 범죄; 공격"
파생어,Day 03,offend,화나게 하다; 위반하다
파생어,Day 03,offensive,화나게 하는; 공격의
표제어,Day 03,defense,방어(물); 변호
파생어,Day 03,defend,방어하다; 변호하다
파생어,Day 03,defensive,"방어용의, 방어적인"
파생어,Day 03,defendant,피고인
표제어,Day 03,compose,"구성하다; 작곡하다, 작문하다"
파생어,Day 03,composition,구성; 작곡
파생어,Day 03,composite,"혼성의, 합성의"
표제어,Day 03,contain,"들어있다, 포함하다"
파생어,Day 03,container,"컨테이너, 용기"
표제어,Day 03,charge,청구하다; 고발하다; 책임을 지우다; 충전하다; 요금; 책임
표제어,Day 03,debate,"논쟁, 토론; 논쟁하다, 토론하다"
표제어,Day 03,overlap,"겹치다, 포개지다; 중복되다"
표제어,Day 04,yield,"산출하다, 생산하다; 굴복하다; 양보하다; (농작물 등의) 산출량"
표제어,Day 04,devote,"(노력·시간을) 바치다, 기울이다"
파생어,Day 04,devotion,"헌신, 전념"
파생어,Day 04,devote oneself to,"~에 전념하다, 몰두하다"
표제어,Day 04,indicate,"나타내다, 암시하다; 가리키다"
파생어,Day 04,indication,"표시, 암시"
파생어,Day 04,indicator,"지표, 지수"
표제어,Day 04,function,"기능, 역할; 작용하다, 기능하다"
파생어,Day 04,functional,"기능적인, 기능상의"
표제어,Day 04,interrupt,"방해하다, 중단시키다"
파생어,Day 04,interruption,방해(물); 중단
표제어,Day 04,feat,"위업, 공적"
표제어,Day 04,evident,"명백한, 분명한"
파생어,Day 04,evidently,"명백하게, 분명하게"
표제어,Day 04,output,"출력, 생산"
표제어,Day 04,violate,"위반하다, 어기다; 침해하다"
파생어,Day 04,violator,"위반자, 위배자"
표제어,Day 04,declare,"선언하다, 발표하다; (세관 등에) 신고하다"
파생어,Day 04,declaration,"선언, 발표; 신고"
표제어,Day 04,instant,"즉각적인; 즉석요리의; 즉시, 찰나"
파생어,Day 04,instantly,"즉각, 즉시"
표제어,Day 04,struggle,"버둥거리다, 허덕이다; 분투하다, 열심히 노력하다; 싸움; 노력"
표제어,Day 04,induce,"권유하다, 설득하여 ~시키다; 일으키다, 유발하다"
파생어,Day 04,induction,"유도, 유발; 귀납법"
파생어,Day 04,inducement,"권유, 유도(하는 것)"
표제어,Day 04,adapt,적응하다[시키다]; 개조하다
파생어,Day 04,adaptation,적응; 각색
파생어,Day 04,adaptive,적응할 수 있는
표제어,Day 04,adopt,입양하다; 채택[채용]하다
파생어,Day 04,adoption,입양; 채택
파생어,Day 04,adoptive,양자 관계의
표제어,Day 04,dedicate,"(시간·노력을) 바치다, 헌신하다"
파생어,Day 04,dedication,헌신
파생어,Day 04,dedicated,헌신적인
표제어,Day 04,addicted,"중독된, 푹 빠진"
파생어,Day 04,addiction,중독
파생어,Day 04,addict,중독자
표제어,Day 04,distance,"거리, 간격; 먼 거리, 먼 곳"
파생어,Day 04,distant,먼
표제어,Day 04,disturb,방해하다; 어지럽히다
파생어,Day 04,disturbance,"소란, 소동; 방해"
표제어,Day 04,donation,"기부(금), 기증(품)"
파생어,Day 04,donate,"기부하다, 기증하다"
파생어,Day 04,donor,"기부자, 기증자"
표제어,Day 04,disappear,사라지다
표제어,Day 04,vivid,"생생한, 선명한"
파생어,Day 04,vividly,"생생하게, 선명하게"
표제어,Day 04,regard,"여기다, 간주하다; 존경; 관심, 고려; ((~s)) 안부 인사"
파생어,Day 04,regarding,~에 관해서는
파생어,Day 04,regardless of,~에 관계없이
표제어,Day 04,disrupt,"방해하다, 지장을 주다"
표제어,Day 04,retire,"은퇴하다, 퇴직하다, 그만두다"
파생어,Day 04,retirement,"은퇴, 퇴직"
표제어,Day 04,enhance,"높이다, 강화하다"
표제어,Day 04,adequate,"적절한, 충분한"
파생어,Day 04,adequately,"충분히, 적절히"
표제어,Day 04,estimate,"(가치 등을) 추정하다, 평가하다; 추정; 견적서"
파생어,Day 04,estimation,"판단, 평가"
표제어,Day 04,arrange,"정하다, 준비하다; 정리[배열]하다; 편곡하다"
파생어,Day 04,arrangement,((~s)) 준비; 정리; 합의
표제어,Day 04,restrain,"제지하다; (감정·행동 등을) 억누르다, 억제하다"
파생어,Day 04,restraint,"규제, 제한, 제지"
표제어,Day 05,amend,"(법 등을) 수정하다, 개정하다"
파생어,Day 05,amendment,"개정, 수정"
표제어,Day 05,account,"설명, 보고; 계좌; 설명하다; 차지하다"
표제어,Day 05,sum,"액수; ((the ~ of)) 합계, 총합, 전부"
파생어,Day 05,the sum total,"총액, 총합"
파생어,Day 05,in sum,요컨대
표제어,Day 05,affirm,"단언하다, 확언하다"
파생어,Day 05,affirmation,"확언, 단언"
파생어,Day 05,affirmative,긍정의; 긍정적 대답
표제어,Day 05,adversity,역경
파생어,Day 05,adverse,거스르는; 불리한
파생어,Day 05,adversely,"불리하게, 반대로"
표제어,Day 05,extend,연장하다; 뻗다; 확장하다
파생어,Day 05,extension,연장; 확장
파생어,Day 05,extensive,"넓은, 광범위한"
표제어,Day 05,extent,"범위, 정도; 넓이, 크기"
파생어,Day 05,to some[a certain] extent,"어느 정도까지는, 다소"
표제어,Day 05,expose,"드러내다, 노출시키다; 폭로하다"
파생어,Day 05,exposure,노출; 폭로
파생어,Day 05,exposition,해설; 전시[박람]회
표제어,Day 05,exhaust,기진맥진하게 만들다; 다 써버리다; 배기가스
파생어,Day 05,exhausted,기진맥진한; 소요된
파생어,Day 05,exhaustion,기진맥진; 고갈
표제어,Day 05,obey,"복종하다, 따르다, 준수하다"
파생어,Day 05,obedient,복종하는
파생어,Day 05,obedience,복종
표제어,Day 05,confess,"자백하다, 고백하다"
파생어,Day 05,confession,"자백, 고백"
표제어,Day 05,affair,"((~s)) 일, 활동; 사건, 스캔들"
표제어,Day 05,appreciate,"이해하다; 감상하다, 진가를 알다; 고맙게 생각하다"
파생어,Day 05,appreciation,감상; 감사; 이해
표제어,Day 05,potential,"잠재적인, 가능성이 있는; 가능성, 잠재력"
파생어,Day 05,potentially,"잠재적으로, 어쩌면"
표제어,Day 05,rule,"규칙, 원칙; 지배, 통치; 지배하다, 통치하다"
파생어,Day 05,ruler,통치자
파생어,Day 05,as a rule,"원칙적으로, 대개"
표제어,Day 05,solid,"단단한, 견고한; 순~, 순수한; 속이 꽉 찬; 고체"
파생어,Day 05,solidity,"견고함, 탄탄함"
표제어,Day 05,alert,"방심하지 않는, 조심하는; 경고하다; 경계"
표제어,Day 05,manufacture,"제조하다, 생산하다; 제조, 생산; ((~s)) 제품"
파생어,Day 05,manufacturer,"제조업자, 제작사"
표제어,Day 05,profit,"이익, 이윤; 이익을 얻다[주다]"
파생어,Day 05,profitable,"이익이 되는, 유익한"
표제어,Day 05,genuine,진실된; 진짜의
표제어,Day 05,gender,"성별, 성"
표제어,Day 05,fade,"사라지다, 희미해지다; (색깔이) 바래다"
파생어,Day 05,fade away,사라지다
표제어,Day 05,transit,"운반, 운송; 통과, 환승"
파생어,Day 05,transition,"이행, 변천, 과도기"
표제어,Day 05,afford,((can/could ~)) ~할 여유가 있다
파생어,Day 05,affordable,감당할 수 있는
표제어,Day 05,finance,"재정, 금융; ((~s)) 자금, 재정 상태; 자금을 공급[조달]하다"
파생어,Day 05,financial,"재정상의, 금융상의"
파생어,Day 05,financially,재정적으로
표제어,Day 05,precise,"정확한, 정밀한"
파생어,Day 05,precisely,정확히
파생어,Day 05,precision,정확(성)
표제어,Day 05,crew,"승무원; 선원; 팀, 무리"
표제어,Day 05,universal,"보편적인, 일반적인; 전 세계의"
파생어,Day 05,universe,"우주, 은하계"
파생어,Day 05,universally,보편적으로
표제어,Day 05,enable,가능하게 하다
표제어,Day 05,preserve,"지키다, 보호하다; 유지하다"
파생어,Day 05,preservation,보호; 유지
표제어,Day 06,operate,"작동하다, 조작하다; 운영하다; 수술하다"
파생어,Day 06,operation,수술; 사업; (기계) 작동
표제어,Day 06,draft,"초고, 초안"
표제어,Day 06,entire,"전체의; 흠이 없는, 그대로의; 전부, 전체"
표제어,Day 06,blame,"비난하다, ~을 탓하다; 비난, 책망"
파생어,Day 06,be to blame (for),(~에) 책임이 있다
표제어,Day 06,average,"평균; 표준, 보통수준; 평균의, 보통의"
파생어,Day 06,on average,평균적으로
표제어,Day 06,found,설립하다; ~에 기초를 두다
파생어,Day 06,foundation,기초; 창설; 재단
표제어,Day 06,enrich,"부유하게 하다, 풍부하게 하다"
파생어,Day 06,enrichment,"부유, 풍부"
표제어,Day 06,seek,추구하다; 찾다
표제어,Day 06,sector,"부문, 분야, 영역"
표제어,Day 06,isolate,"격리시키다, 고립시키다"
파생어,Day 06,isolation,고립; 고독
표제어,Day 06,behavior,"행동, 행위, 태도"
파생어,Day 06,behave,"행동하다, 처신하다"
표제어,Day 06,confuse,혼란시키다; 혼동하다
파생어,Day 06,confusing,혼란시키는
파생어,Day 06,confused,혼란스러운
파생어,Day 06,confusion,혼란
표제어,Day 06,current,"현재의; 흐름; 경향, 풍조"
파생어,Day 06,currency,화폐; 유통
파생어,Day 06,currently,현재(는)
표제어,Day 06,general,"일반적인, 보편적인; 대체적인, 개괄적인; 장군, 대장"
파생어,Day 06,generally,"일반적으로, 대개"
파생어,Day 06,generalize,일반화하다
표제어,Day 06,aggressive,공격적인; 적극적인
파생어,Day 06,aggression,"공격, 침략"
표제어,Day 06,immense,"엄청난, 어마어마한"
파생어,Day 06,immensely,"엄청나게, 대단히"
표제어,Day 06,gradual,"점진적인, 차츰 ~하는"
파생어,Day 06,gradually,"차츰, 서서히"
표제어,Day 06,exhibit,전시하다; 전시(품)
파생어,Day 06,exhibition,"전시, 전시회"
표제어,Day 06,identical,"동일한, 일치하는"
파생어,Day 06,identity,신원; 정체성; 동일함
파생어,Day 06,identify,확인하다; 동일시하다
표제어,Day 06,independent,독립한; 자립심이 강한
파생어,Day 06,independence,독립; 자립심
표제어,Day 06,boast,"자랑하다, 뽐내다"
파생어,Day 06,boastful,"자랑하는, 자화자찬의"
표제어,Day 06,invest,투자하다
파생어,Day 06,investment,투자; 투자금
표제어,Day 06,heritage,유산
표제어,Day 06,revenue,"매출, 수입"
표제어,Day 06,brilliant,"훌륭한, 멋진; 명석한; 빛나는, 아주 밝은"
파생어,Day 06,brilliance,탁월; 광명
표제어,Day 06,reject,"거절하다, 거부하다"
파생어,Day 06,rejection,"거절, 배제"
표제어,Day 06,despite,~에도 불구하고
표제어,Day 06,receipt,영수증
표제어,Day 06,injured,다친; (감정이) 상처를 받은
파생어,Day 06,injure,"다치게 하다, 해치다"
파생어,Day 06,injury,부상
표제어,Day 06,convince,"확신시키다, 납득시키다; 설득하다"
표제어,Day 07,article,기사; 물품; 조항
표제어,Day 07,ethnic,"민족의, 혈통의, 인종의; 종족"
표제어,Day 07,tone,"소리, 음질; 어조, 말씨; 색조"
표제어,Day 07,furthermore,"더욱이, 게다가"
표제어,Day 07,abandon,"버리다, 떠나다; 포기하다, 단념하다"
표제어,Day 07,preview,"사전 조사, 시사회; 사전 검토[조사]하다"
표제어,Day 07,renew,"갱신하다, 재개하다"
파생어,Day 07,renewal,"갱신, 재개"
표제어,Day 07,emerge,"나오다, 나타나다"
파생어,Day 07,emergence,"출현, 발생"
파생어,Day 07,emerging,새로 생겨난
표제어,Day 07,merge,"합병[병합]하다, 합치다"
표제어,Day 07,designate,"지정하다, 지명하다; (기호를 써서) 표시하다"
표제어,Day 07,analyze,"분석하다, 검토하다"
파생어,Day 07,analysis,"분석, 해석"
파생어,Day 07,analytical,"분석적인, 분석의"
표제어,Day 07,principle,"원리, 원칙; 주의, 신념"
표제어,Day 07,reasonable,합리적인; 정당한
파생어,Day 07,reasonably,"합리적으로, 상당히"
표제어,Day 07,elect,"선출하다, 선임하다"
파생어,Day 07,election,선거; 당선
표제어,Day 07,neglect,"방치하다, 소홀히 하다; 무시하다; 태만, 소홀"
파생어,Day 07,neglectful,"태만한, 소홀한"
표제어,Day 07,flawless,흠이 없는
파생어,Day 07,flaw,"흠, 결점, 결함"
파생어,Day 07,flawlessly,"흠 없이, 완벽하게"
표제어,Day 07,companion,"동료, 친구; 안내서, 지침서"
파생어,Day 07,companionship,"교우, 친구 사이"
표제어,Day 07,ban,금지하다; 금지
표제어,Day 07,obligation,"의무, 책임"
파생어,Day 07,obligatory,의무적인
파생어,Day 07,oblige,(~하도록) 의무를 지우다
표제어,Day 07,local,"지역의, 현지의; 주민, 현지인"
파생어,Day 07,locality,"장소, 인근"
표제어,Day 07,apology,"사과, 사죄"
파생어,Day 07,apologize,"사과하다, 사죄하다"
표제어,Day 07,document,"문서, 서류, 기록"
파생어,Day 07,documentary,"문서의, 서류의; 다큐멘터리, 기록물"
표제어,Day 07,phase,"국면, 단계; 단계적으로 실행하다"
표제어,Day 07,cue,"신호, 단서; 신호를 주다, 지시를 보내다"
표제어,Day 07,magnify,확대하다; 과장하다
파생어,Day 07,magnificence,"장엄, 웅장"
파생어,Day 07,magnificent,"장대한, 멋진"
표제어,Day 07,cognitive,"인식의, 인지의"
파생어,Day 07,cognition,"인식, 인지"
표제어,Day 07,temper,"기질, 기분, 성격; 화; 완화시키다; 억제하다"
표제어,Day 07,blend,"섞다, 혼합하다; 조화되다, 어울리다; 혼합물"
파생어,Day 07,blender,(부엌용) 믹서기
표제어,Day 07,dominant,"지배적인, 우위를 차지하는"
파생어,Day 07,dominate,"지배하다, 우위를 차지하다"
파생어,Day 07,dominance,"지배, 우월"
표제어,Day 07,agency,"대리점, 대행사; 기관"
파생어,Day 07,agent,"대리인, 대행자, 중개상"
표제어,Day 08,maintain,"유지하다, 지속하다; 주장하다"
파생어,Day 08,maintenance,"유지, 지속"
표제어,Day 08,prudent,"신중한, 조심성 있는"
파생어,Day 08,prudently,신중하게
파생어,Day 08,prudence,"신중, 조심"
표제어,Day 08,revise,"수정하다, 개정하다"
파생어,Day 08,revision,"개정, 수정"
표제어,Day 08,character,성격; 특성; (등장)인물; 문자
파생어,Day 08,characteristic,독특한; 특성
파생어,Day 08,characterize,특성을 나타내다
표제어,Day 08,comment,"논평, 의견; 비평하다, 논평하다"
파생어,Day 08,commentary,"실황 방송, 해설"
표제어,Day 08,economic,"경제(상)의, 경제학의"
파생어,Day 08,economy,경제
파생어,Day 08,economist,경제학자
표제어,Day 08,discourse,"담화, 담론; 이야기를 하다, 논하다"
표제어,Day 08,gear,"기어, 톱니바퀴; 장치, 장비; 기어를 넣다; 적응시키다"
표제어,Day 08,verbal,"말의, 언어의"
파생어,Day 08,verbalize,~을 말로 표현하다
파생어,Day 08,verbally,"언어로, 구두로"
표제어,Day 08,immediate,"즉각적인; 시급한, 당면한; 직접적인"
파생어,Day 08,immediately,"곧, 즉시"
표제어,Day 08,remind,"상기시키다, 일깨우다"
파생어,Day 08,reminder,생각나게 하는 것
표제어,Day 08,board,판자; (게시)판; 위원회; 탑승하다
파생어,Day 08,on board,탑승한
표제어,Day 08,measure,측정하다; 평가하다; 대책; 척도
파생어,Day 08,measurement,측정; 치수
파생어,Day 08,measurable,측정할 수 있는
표제어,Day 08,realize,깨닫다; 실현하다
파생어,Day 08,realization,깨달음; 실현
표제어,Day 08,manage,"경영하다, 관리하다; 간신히 ~하다"
파생어,Day 08,manageable,관리할 수 있는
파생어,Day 08,management,"관리, 경영"
표제어,Day 08,administer,"관리하다, 운영하다; 집행하다"
파생어,Day 08,administration,"관리, 경영; 행정(부)"
파생어,Day 08,administrative,관리[행정]상의
표제어,Day 08,provide,"제공하다, 주다; 규정하다"
파생어,Day 08,provide A with B,A에게 B를 제공하다
파생어,Day 08,provide B for A,A에게 B를 제공하다
파생어,Day 08,provision,"공급, 제공; ((~s)) 식량; [법] 조항"
표제어,Day 08,rush,"급하게 가다, 서두르다; 돌진; 분주함"
파생어,Day 08,rush hour,"러시아워, 혼잡한 시간"
표제어,Day 08,diminish,"줄어들다, 축소하다"
표제어,Day 08,permit,허락하다; 허가(증)
파생어,Day 08,permission,"허락, 허가"
파생어,Day 08,permissible,허용되는
표제어,Day 08,harsh,"가혹한, 무자비한"
표제어,Day 08,count,"세다, 계산하다; 간주하다; 중요하다"
파생어,Day 08,countable,셀 수 있는
파생어,Day 08,countless,"무수한, 셀 수 없이 많은"
표제어,Day 08,fulfil(l),"(의무 등을) 다하다, 이행하다; 실현[성취]하다"
파생어,Day 08,fulfil(l)ment,"이행, 완수; 성취"
표제어,Day 08,scrub,"문지르다, 닦아내다"
표제어,Day 08,sentence,"문장; 판결, 선고; 선고하다, 판결을 내리다"
파생어,Day 08,sentential,문장의
표제어,Day 08,aptitude,"소질, 적성"
표제어,Day 08,attitude,"태도, 자세"
표제어,Day 08,altitude,"높이, 고도"
표제어,Day 08,embed,깊숙이 박다; (마음·기억 등에) 깊이 새겨두다
표제어,Day 08,generate,"생산[창출]하다, 일으키다; (전기, 열 등을) 발생시키다"
파생어,Day 08,generation,세대; 발생
표제어,Day 09,imaginary,"상상의, 가상의"
파생어,Day 09,imagine,상상하다; 생각하다
파생어,Day 09,imagination,"상상력, 상상"
표제어,Day 09,secure,"안전한, 안정된; 안전하게 하다; 확보하다"
파생어,Day 09,securely,확실하게; 안정적으로
표제어,Day 09,discard,"버리다, 포기하다"
표제어,Day 09,tear,"눈물; 구멍, 찢어진 틈; 찢다"
파생어,Day 09,tearful,눈물 어린
표제어,Day 09,worthwhile,"가치 있는, ~할 가치가 있는"
표제어,Day 09,sacrifice,희생하다; 제물로 바치다; 희생
표제어,Day 09,coordinate,"조직화하다, 편성하다; 조정하다; 동등한"
파생어,Day 09,coordination,"일치, 조화"
표제어,Day 09,engage,"참여하다, 관여하다; 고용하다; (관심을) 끌다; 관계를 맺다"
파생어,Day 09,engaged,약혼한
파생어,Day 09,engagement,약혼; 약속; 고용
표제어,Day 09,utilize,"이용하다, 활용하다"
파생어,Day 09,utility,유용(성); (수도·전기 등) 공익사업
표제어,Day 09,commence,"시작되다, 시작하다"
표제어,Day 09,apparent,"명백한, 분명한; 겉보기의"
파생어,Day 09,apparently,"명백히; 외관상으로, 보아하니"
